method,value_type,kernel_width,rho,best_tile_x,best_tile_y,best_tile_z,best_team_size,best_oversubscription_factor,best_z_batches,throughput_Mpts_s,time_ms,kernel_evaluations,preflight_rejections
Atomic,real,1,0.5000,1,1,1,1,4,1,477.24,0.0000,0,0
Tiled,real,1,0.5000,6,6,6,64,1,1,1253.81,0.0000,0,0
OutputFocused,real,1,0.5000,8,1,6,128,1,1,370.15,0.0000,0,0
Atomic,real,2,0.5000,1,1,1,2,1,1,476.48,0.0000,0,0
Tiled,real,2,0.5000,8,8,8,256,1,1,1231.17,0.0000,0,0
OutputFocused,real,2,0.5000,8,1,8,64,1,1,370.25,0.0000,0,0
Atomic,real,1,2.0000,1,1,1,8,4,1,617.45,0.0000,0,0
Tiled,real,1,2.0000,8,1,1,16,3,1,1864.93,0.0000,0,0
OutputFocused,real,1,2.0000,1,1,8,128,1,1,391.31,0.0000,0,0
Atomic,real,2,2.0000,1,1,1,8,4,1,618.21,0.0000,0,0
Tiled,real,2,2.0000,1,1,1,16,1,1,1814.68,0.0000,0,0
OutputFocused,real,2,2.0000,4,8,2,64,1,3,391.17,0.0000,0,0
Atomic,real,1,4.0000,1,1,1,2,1,1,540.99,0.0000,0,0
Tiled,real,1,4.0000,3,3,7,128,3,1,2195.38,0.0000,0,0
OutputFocused,real,1,4.0000,8,8,1,64,1,7,394.03,0.0000,0,0
Atomic,real,2,4.0000,1,1,1,4,4,1,541.48,0.0000,0,0
Tiled,real,2,4.0000,5,5,5,64,1,1,2192.47,0.0000,0,0
OutputFocused,real,2,4.0000,4,4,5,512,1,4,394.26,0.0000,0,0
Atomic,real,1,8.0000,1,1,1,4,4,1,408.29,0.0000,0,0
Tiled,real,1,8.0000,3,1,7,16,2,1,2446.44,0.0000,0,0
OutputFocused,real,1,8.0000,8,8,1,64,1,8,395.44,0.0000,0,0
Atomic,real,2,8.0000,1,1,1,1,3,1,408.34,0.0000,0,0
Tiled,real,2,8.0000,7,8,3,256,1,1,2442.22,0.0000,0,0
OutputFocused,real,2,8.0000,8,8,1,512,1,2,395.41,0.0000,0,0
Atomic,complex,1,0.5000,1,1,1,1,4,1,477.24,0.0000,0,0
Tiled,complex,1,0.5000,6,6,6,64,1,1,1253.81,0.0000,0,0
OutputFocused,complex,1,0.5000,8,1,6,128,1,1,370.15,0.0000,0,0
Atomic,complex,2,0.5000,1,1,1,2,1,1,476.48,0.0000,0,0
Tiled,complex,2,0.5000,8,8,8,256,1,1,1231.17,0.0000,0,0
OutputFocused,complex,2,0.5000,8,1,8,64,1,1,370.25,0.0000,0,0
Atomic,complex,1,2.0000,1,1,1,8,4,1,617.45,0.0000,0,0
Tiled,complex,1,2.0000,8,1,1,16,3,1,1864.93,0.0000,0,0
OutputFocused,complex,1,2.0000,1,1,8,128,1,1,391.31,0.0000,0,0
Atomic,complex,2,2.0000,1,1,1,8,4,1,618.21,0.0000,0,0
Tiled,complex,2,2.0000,1,1,1,16,1,1,1814.68,0.0000,0,0
OutputFocused,complex,2,2.0000,4,8,2,64,1,3,391.17,0.0000,0,0
Atomic,complex,1,4.0000,1,1,1,2,1,1,540.99,0.0000,0,0
Tiled,complex,1,4.0000,3,3,7,128,3,1,2195.38,0.0000,0,0
OutputFocused,complex,1,4.0000,8,8,1,64,1,7,394.03,0.0000,0,0
Atomic,complex,2,4.0000,1,1,1,4,4,1,541.48,0.0000,0,0
Tiled,complex,2,4.0000,5,5,5,64,1,1,2192.47,0.0000,0,0
OutputFocused,complex,2,4.0000,4,4,5,512,1,4,394.26,0.0000,0,0
Atomic,complex,1,8.0000,1,1,1,4,4,1,408.29,0.0000,0,0
Tiled,complex,1,8.0000,3,1,7,16,2,1,2446.44,0.0000,0,0
OutputFocused,complex,1,8.0000,8,8,1,64,1,8,395.44,0.0000,0,0
Atomic,complex,2,8.0000,1,1,1,1,3,1,408.34,0.0000,0,0
Tiled,complex,2,8.0000,7,8,3,256,1,1,2442.22,0.0000,0,0
OutputFocused,complex,2,8.0000,8,8,1,512,1,2,395.41,0.0000,0,0
