tile_size,width_2,width_3,width_4,width_5,width_6,width_7,width_8
1,63.23,60.42,56.94,47.44,37.72,28.59,21.17
2,241.33,201.72,159.82,97.09,60.97,40.59,21.44
3,347.99,248.62,157.48,85.81,54.63,28.03,15.49
4,366.81,214.20,131.26,71.73,36.63,19.97,15.02
5,302.02,174.57,104.90,46.69,25.49,19.16,8.07
6,243.24,137.44,67.97,31.87,24.16,9.95,7.87
7,188.62,88.93,46.22,31.28,12.63,9.90,7.90
8,122.46,60.60,44.70,16.06,12.48,9.91,nan
9,83.57,57.86,22.29,15.33,12.06,nan,nan
10,83.36,29.89,22.35,15.49,nan,nan,nan
